Age,SD_probability_mean,SD_probability_error
-13.55122,0.15231358,0.015828054
-13.54174,0.15676335,0.016195113
-13.53222,0.16141501,0.016139569
-13.5227,0.16712402,0.01660206
-13.51318,0.16886353,0.016452465
-13.50366,0.17472735,0.017107168
-13.49409,0.17953372,0.017056335
-13.48447,0.18419686,0.017450647
-13.47485,0.18775621,0.017275339
-13.46523,0.18982473,0.017874759
-13.45561,0.18858144,0.017382741
-13.44599,0.18846048,0.017654123
-13.43637,0.18804719,0.017106576
-13.42675,0.18921351,0.017423812
-13.41713,0.1922017,0.017304778
-13.40751,0.19494355,0.01766986
-13.39792,0.19591284,0.017547848
-13.38836,0.19492191,0.017727634
-13.3788,0.19553559,0.017496906
-13.36924,0.19204506,0.01760635
-13.35968,0.18977802,0.017157929
-13.35013,0.1874117,0.017372578
-13.34059,0.18638721,0.016884249
-13.33105,0.18612963,0.01712184
-13.32151,0.1874112,0.016817942
-13.31197,0.1867079,0.017032607
-13.30242,0.1880572,0.016790038
-13.29286,0.18660496,0.017159821
-13.2833,0.18450756,0.016870482
-13.27374,0.17976427,0.016794126
-13.26418,0.18155147,0.016669396
-13.25473,0.17901455,0.016791638
-13.24539,0.17819694,0.016305866
-13.23605,0.177718,0.016460665
-13.22671,0.18154693,0.016292812
-13.21737,0.18313591,0.016661696
-13.20802,0.18541129,0.016393352
-13.19866,0.18745968,0.016876547
-13.1893,0.18989387,0.01666361
-13.17994,0.18738267,0.016838644
-13.17058,0.190079,0.016605861
-13.16169,0.19192751,0.017037008
-13.15327,0.19773246,0.016937995
-13.14485,0.19694242,0.017116228
-13.13643,0.1981289,0.016862992
-13.12801,0.19390334,0.016763836
-13.12009,0.18986864,0.016239079
-13.11267,0.18481886,0.016218122
-13.10525,0.18525349,0.016157506
-13.09783,0.18387991,0.016513156
-13.09041,0.18461165,0.016182821
-13.08294,0.18397877,0.016441273
-13.07542,0.18715455,0.016197974
-13.0679,0.18828943,0.01646961
-13.06038,0.19139326,0.016170137
-13.05286,0.19655934,0.016670566
-13.04538,0.20259301,0.016671557
-13.03794,0.20617828,0.017346613
-13.0305,0.21488166,0.017013557
-13.02306,0.21939659,0.017578926
-13.01562,0.22018576,0.017289128
-13.00816,0.22174668,0.017859096
-13.00068,0.22902396,0.01746887
-12.9932,0.22934833,0.01792185
-12.98572,0.23630626,0.017435595
-12.97824,0.23443905,0.017670909
-12.97075,0.23721294,0.017110854
-12.96325,0.23972788,0.017735165
-12.95575,0.24587926,0.017321272
-12.94825,0.25090978,0.017926399
-12.94075,0.26230583,0.017500116
-12.93322,0.26317436,0.01832335
-12.92566,0.2747799,0.017962588
-12.9181,0.27536762,0.018444665
-12.91054,0.2847439,0.01833618
-12.90298,0.28303105,0.019082772
-12.89551,0.29021293,0.018897323
-12.88813,0.28921667,0.019312391
-12.88075,0.30144066,0.01918486
-12.87337,0.30383912,0.019722061
-12.86599,0.3146705,0.01926823
-12.85864,0.31610447,0.019680098
-12.85132,0.32521147,0.019159367
-12.844,0.32025805,0.019761806
-12.83668,0.32828036,0.019215463
-12.82936,0.31977522,0.01979929
-12.82205,0.3265792,0.019550662
-12.81475,0.32458165,0.020246124
-12.80745,0.3407302,0.019567296
-12.80015,0.3396297,0.020506132
-12.79285,0.34865505,0.019733932
-12.78561,0.34427378,0.020282375
-12.77843,0.3571475,0.0197033
-12.77125,0.3504115,0.020614242
-12.76407,0.35764718,0.019795172
-12.75689,0.35806736,0.020663893
-12.74981,0.37236342,0.019748442
-12.74283,0.36854365,0.02043977
-12.73585,0.38460255,0.019751232
-12.72887,0.38405818,0.020718291
-12.72189,0.40225905,0.020050274
-12.71489,0.39116764,0.021010967
-12.70787,0.39391398,0.020087177
-12.70085,0.36565846,0.021300137
-12.69383,0.36102203,0.020406809
-12.68681,0.33905745,0.021026153
-12.67977,0.33952352,0.020220712
-12.67271,0.33211955,0.020766653
-12.66565,0.3457598,0.020346444
-12.65859,0.3418154,0.020999892
-12.65153,0.35306752,0.020178529
-12.6444,0.34436578,0.021010395
-12.6372,0.35743922,0.020342207
-12.63,0.35598665,0.020874262
-12.6228,0.3730975,0.020298082
-12.6156,0.3682788,0.021041324
-12.60849,0.38807988,0.020189246
-12.60147,0.38243872,0.02104907
-12.59445,0.40209645,0.020209527
-12.58743,0.3897758,0.021075107
-12.58041,0.40266496,0.020606942
-12.57337,0.397345,0.021339422
-12.56631,0.41721344,0.020528123
-12.55925,0.4161872,0.021342585
-12.55219,0.44558278,0.020358674
-12.54513,0.4444047,0.021296887
-12.53806,0.46751055,0.02027226
-12.53098,0.45093736,0.021366883
-12.5239,0.46500644,0.02046039
-12.51682,0.45089442,0.021179091
-12.50974,0.46062487,0.020821711
-12.50267,0.43764034,0.021724235
-12.49561,0.44607884,0.020939
-12.48855,0.42459193,0.021613423
-12.48149,0.4376026,0.02083817
-12.47443,0.42093706,0.02163162
-12.46737,0.43260622,0.021303
-12.46031,0.41413945,0.021906432
-12.45325,0.42484576,0.021315278
-12.44619,0.40915948,0.02206381
-12.43913,0.42782035,0.021614922
-12.43206,0.41739574,0.02236592
-12.42498,0.43351117,0.021728935
-12.4179,0.41959614,0.022177037
-12.41082,0.43095452,0.021824794
-12.40374,0.4136671,0.022410806
-12.39653,0.42284888,0.021847777
-12.38919,0.40870804,0.022257691
-12.38185,0.42084303,0.021902759
-12.37451,0.404464,0.022636106
-12.36717,0.41287318,0.02233546
-12.35974,0.39498496,0.02318869
-12.35222,0.40113267,0.022527115
-12.3447,0.3879537,0.023119392
-12.33718,0.40133995,0.0225316
-12.32966,0.38825646,0.023370484
-12.32218,0.39735943,0.022780975
