Age,SD_probability_mean,SD_probability_error
-13.55122,0.2054902,0.022675166
-13.54174,0.21336885,0.02292905
-13.53222,0.2192444,0.022979494
-13.5227,0.22596765,0.02317379
-13.51318,0.23204735,0.023187907
-13.50366,0.23894444,0.02355233
-13.49409,0.25089037,0.02355948
-13.48447,0.25844884,0.023818936
-13.47485,0.26278928,0.023632698
-13.46523,0.26490122,0.023836965
-13.45561,0.26512843,0.023594338
-13.44599,0.26210132,0.023650695
-13.43637,0.26091394,0.02343639
-13.42675,0.25853842,0.023527771
-13.41713,0.26202792,0.02346887
-13.40751,0.2589173,0.023570629
-13.39792,0.25860366,0.023335783
-13.38836,0.25293458,0.023298396
-13.3788,0.25000742,0.023212017
-13.36924,0.24158028,0.023249056
-13.35968,0.2398659,0.023107095
-13.35013,0.23496649,0.023237882
-13.34059,0.23879376,0.023097737
-13.33105,0.23971608,0.023050519
-13.32151,0.24232253,0.022888035
-13.31197,0.24168663,0.022976201
-13.30242,0.2438977,0.02283886
-13.29286,0.24096748,0.023146553
-13.2833,0.23673686,0.022967042
-13.27374,0.23202054,0.02303263
-13.26418,0.23054501,0.022727732
-13.25473,0.23147483,0.022823514
-13.24539,0.23280373,0.022793533
-13.23605,0.23162384,0.022849133
-13.22671,0.23577556,0.02281377
-13.21737,0.24246149,0.022943104
-13.20802,0.24725854,0.022811497
-13.19866,0.24566098,0.022910403
-13.1893,0.24842851,0.022836745
-13.17994,0.24547692,0.022949856
-13.17058,0.24740326,0.022805573
-13.16169,0.2472845,0.022841407
-13.15327,0.24667732,0.022769302
-13.14485,0.24458794,0.022856755
-13.13643,0.24709097,0.02272136
-13.12801,0.2446365,0.022971109
-13.12009,0.24292293,0.02288892
-13.11267,0.23679952,0.02280142
-13.10525,0.2374088,0.022645876
-13.09783,0.23374942,0.022601478
-13.09041,0.23644347,0.022549639
-13.08294,0.23862675,0.02271046
-13.07542,0.24312015,0.022665292
-13.0679,0.24249968,0.022853743
-13.06038,0.24623954,0.02273437
-13.05286,0.24621728,0.022954311
-13.04538,0.2517391,0.02303568
-13.03794,0.25647026,0.023263564
-13.0305,0.26327097,0.023131903
-13.02306,0.26571387,0.023179896
-13.01562,0.27111495,0.02309016
-13.00816,0.2693785,0.023216143
-13.00068,0.27580172,0.023156645
-12.9932,0.27674812,0.02322525
-12.98572,0.28088635,0.023122068
-12.97824,0.2833913,0.023311513
-12.97075,0.2898426,0.023144513
-12.96325,0.28748614,0.023407651
-12.95575,0.29724693,0.023324171
-12.94825,0.3033024,0.023489915
-12.94075,0.31482977,0.023377007
-12.93322,0.31637082,0.023848472
-12.92566,0.32953283,0.023805015
-12.9181,0.33064288,0.024150673
-12.91054,0.33894196,0.024103455
-12.90298,0.33743802,0.02439842
-12.89551,0.34576514,0.024239032
-12.88813,0.34416008,0.024336886
-12.88075,0.3565554,0.024230609
-12.87337,0.35967785,0.024615807
-12.86599,0.36918527,0.024196737
-12.85864,0.37024754,0.024413213
-12.85132,0.37365732,0.024260325
-12.844,0.37395066,0.024591833
-12.83668,0.38529953,0.024370814
-12.82936,0.38344678,0.025118753
-12.82205,0.39087483,0.02489408
-12.81475,0.39202863,0.02548737
-12.80745,0.4031164,0.024859719
-12.80015,0.40917554,0.02543032
-12.79285,0.41425306,0.025223797
-12.78561,0.4150467,0.025707996
-12.77843,0.41923636,0.025071988
-12.77125,0.41329542,0.025558995
-12.76407,0.41326278,0.024831874
-12.75689,0.41009107,0.02524445
-12.74981,0.41796035,0.024943607
-12.74283,0.4164192,0.025492644
-12.73585,0.42581645,0.025163911
-12.72887,0.4274919,0.025472755
-12.72189,0.44178566,0.02513741
-12.71489,0.43632928,0.025796523
-12.70787,0.4347871,0.025177067
-12.70085,0.42445153,0.025907325
-12.69383,0.41219348,0.025473922
-12.68681,0.40395626,0.02566968
-12.67977,0.40853834,0.024857681
